DATE,EXINUS
1992-05-01,28.5415
1992-06-01,28.5186
1992-07-01,28.5639
1992-08-01,28.4635
1992-09-01,28.4757
1992-10-01,28.4767
1992-11-01,28.4737
1992-12-01,28.9786
1993-01-01,29.0432
1993-02-01,30.0421
1993-03-01,31.9391
1993-04-01,31.6095
1993-05-01,31.6125
1993-06-01,31.6682
1993-07-01,31.6000
1993-08-01,31.6123
1993-09-01,31.5776
1993-10-01,31.5050
1993-11-01,31.4335
1993-12-01,31.4400
1994-01-01,31.4400
1994-02-01,31.4489
1994-03-01,31.4147
1994-04-01,31.3914
1994-05-01,31.3754
1994-06-01,31.3845
1994-07-01,31.3764
1994-08-01,31.3727
1994-09-01,31.3723
1994-10-01,31.3726
1994-11-01,31.3940
1994-12-01,31.3894
1995-01-01,31.3736
1995-02-01,31.3795
1995-03-01,31.5865
1995-04-01,31.4073
1995-05-01,31.4179
1995-06-01,31.4037
1995-07-01,31.3853
1995-08-01,31.5923
1995-09-01,33.3098
1995-10-01,34.6564
1995-11-01,34.7100
1995-12-01,34.9663
1996-01-01,35.8117
1996-02-01,36.5945
1996-03-01,34.4852
1996-04-01,34.3195
1996-05-01,35.0250
1996-06-01,35.0995
1996-07-01,35.6673
1996-08-01,35.8000
1996-09-01,35.8700
1996-10-01,35.8036
1996-11-01,35.8392
1996-12-01,35.8815
1997-01-01,35.9037
1997-02-01,35.8905
1997-03-01,35.8848
1997-04-01,35.8281
1997-05-01,35.8248
1997-06-01,35.8202
1997-07-01,35.7474
1997-08-01,36.0085
1997-09-01,36.4756
1997-10-01,36.3020
1997-11-01,37.2889
1997-12-01,39.4000
1998-01-01,39.3910
1998-02-01,39.0079
1998-03-01,39.5686
1998-04-01,39.7029
1998-05-01,40.4687
1998-06-01,42.3668
1998-07-01,42.6118
1998-08-01,42.8429
1998-09-01,42.5790
1998-10-01,42.3943
1998-11-01,42.4284
1998-12-01,42.5909
1999-01-01,42.5453
1999-02-01,42.5316
1999-03-01,42.5161
1999-04-01,42.7968
1999-05-01,42.8590
1999-06-01,43.2127
1999-07-01,43.3567
1999-08-01,43.5032
1999-09-01,43.5981
1999-10-01,43.5528
1999-11-01,43.4580
1999-12-01,43.5239
2000-01-01,43.5895
2000-02-01,43.6540
2000-03-01,43.6383
2000-04-01,43.6847
2000-05-01,44.0759
2000-06-01,44.7605
2000-07-01,44.8405
2000-08-01,45.7687
2000-09-01,45.9680
2000-10-01,46.4252
2000-11-01,46.8214
2000-12-01,46.7845
2001-01-01,46.6138
2001-02-01,46.5616
2001-03-01,46.6532
2001-04-01,46.7886
2001-05-01,46.9473
2001-06-01,47.0424
2001-07-01,47.1781
2001-08-01,47.1665
2001-09-01,47.7511
2001-10-01,48.0514
2001-11-01,48.0430
2001-12-01,47.9345
2002-01-01,48.3533
2002-02-01,48.7168
2002-03-01,48.7667
2002-04-01,48.9386
2002-05-01,49.0168
2002-06-01,48.9840
2002-07-01,48.7877
2002-08-01,48.6150
2002-09-01,48.4625
2002-10-01,48.3882
2002-11-01,48.2853
2002-12-01,48.1495
2003-01-01,47.9571
2003-02-01,47.7474
2003-03-01,47.6767
2003-04-01,47.3909
2003-05-01,47.11
2003-06-01,46.6995
2003-07-01,46.22
2003-08-01,45.9557
2003-09-01,45.8467
2003-10-01,45.4036
2003-11-01,45.5544
2003-12-01,45.5741
2004-01-01,45.4560
2004-02-01,45.2726
2004-03-01,44.9693
2004-04-01,43.8918
2004-05-01,45.1755
2004-06-01,45.5027
2004-07-01,46.0557
2004-08-01,46.3220
2004-09-01,46.0548
2004-10-01,45.7355
2004-11-01,45.0325
2004-12-01,43.8470
2005-01-01,43.6150
2005-02-01,43.5758
2005-03-01,43.5861
2005-04-01,43.6419
2005-05-01,43.4095
2005-06-01,43.5245
2005-07-01,43.4340
2005-08-01,43.55
2005-09-01,43.8462
2005-10-01,44.7575
2005-11-01,45.6315
2005-12-01,45.5633
2006-01-01,44.2010
2006-02-01,44.23
2006-03-01,44.3378
2006-04-01,44.8245
2006-05-01,45.1959
2006-06-01,45.8886
2006-07-01,46.3675
2006-08-01,46.4461
2006-09-01,46.0105
2006-10-01,45.3552
2006-11-01,44.7257
2006-12-01,44.4835
2007-01-01,44.2062
2007-02-01,44.0195
2007-03-01,43.7936
2007-04-01,42.0176
2007-05-01,40.5686
2007-06-01,40.5905
2007-07-01,40.2738
2007-08-01,40.6791
2007-09-01,40.1735
2007-10-01,39.3661
2007-11-01,39.3267
2007-12-01,39.3750
2008-01-01,39.2676
2008-02-01,39.6735
2008-03-01,40.1452
2008-04-01,39.9668
2008-05-01,42.0019
2008-06-01,42.7633
2008-07-01,42.7027
2008-08-01,42.9057
2008-09-01,45.5300
2008-10-01,48.6155
2008-11-01,48.8517
2008-12-01,48.5132
2009-01-01,48.6995
2009-02-01,49.2484
2009-03-01,51.1291
2009-04-01,49.9655
2009-05-01,48.5100
2009-06-01,47.6736
2009-07-01,48.3624
2009-08-01,48.2426
2009-09-01,48.2924
2009-10-01,46.6524
2009-11-01,46.5305
2009-12-01,46.5273
2010-01-01,45.8944
2010-02-01,46.2732
2010-03-01,45.4509
2010-04-01,44.4440
2010-05-01,45.7690
2010-06-01,46.4983
2010-07-01,46.7617
2010-08-01,46.4605
2010-09-01,45.8729
2010-10-01,44.3540
2010-11-01,44.9315
2010-12-01,45.1000
2011-01-01,45.3750
2011-02-01,45.3795
2011-03-01,44.9143
2011-04-01,44.3010
2011-05-01,44.9024
2011-06-01,44.8109
2011-07-01,44.3960
2011-08-01,45.3135
2011-09-01,47.6905
2011-10-01,49.2020
2011-11-01,50.6785
2011-12-01,52.3824
2012-01-01,51.0015
2012-02-01,49.1812
2012-03-01,50.3635
2012-04-01,51.6900
2012-05-01,54.3314
2012-06-01,55.9424
