Date,Rate,ISO Code From,ISO Code To
"1/11/2019 Friday",70.38000,USD,INR
"1/13/2019 Sunday",70.38304,USD,INR
"1/14/2019 Monday",70.76325,USD,INR
"1/15/2019 Tuesday",71.11318,USD,INR
"1/16/2019 Wednesday",71.23426,USD,INR
"1/17/2019 Thursday",71.04770,USD,INR
"1/18/2019 Friday",71.19015,USD,INR
"1/20/2019 Sunday",71.24129,USD,INR
"1/21/2019 Monday",71.18807,USD,INR
"1/22/2019 Tuesday",71.23901,USD,INR
"1/23/2019 Wednesday",71.16812,USD,INR
"1/24/2019 Thursday",71.12155,USD,INR
"1/25/2019 Friday",71.05972,USD,INR
"1/27/2019 Sunday",70.99034,USD,INR
"1/28/2019 Monday",71.10088,USD,INR
"1/29/2019 Tuesday",71.42161,USD,INR
"1/30/2019 Wednesday",71.12846,USD,INR
"1/31/2019 Thursday",70.95995,USD,INR
"2/1/2019 Friday",71.45547,USD,INR
"2/3/2019 Sunday",71.44960,USD,INR
"2/4/2019 Monday",71.69956,USD,INR
